point_id,Lon,Lat,daima,MOD17_sample_Lon,MOD17_sample_Lat
089,95.62790778273336,32.664989518796105,497,95.62962678249184,32.666063933903054
090,94.50950525400457,33.49143958018606,497,94.51143848390959,33.49343887878205
091,94.54543786536934,33.35669228756813,497,94.54772447457172,33.35854078994309
092,94.33882535002185,33.26686075915618,497,94.34268144272602,33.26860873071711
093,93.98399081279464,33.09618085517347,497,93.9871041541548,33.09773781818775
094,94.86433979123177,33.30279337052096,497,94.86579917007539,33.3045815544075
095,95.1832417170942,33.01533247960271,497,95.18239540040575,33.01679896488437
096,94.97213762532611,33.2399113006326,497,94.97484618765952,33.24162911294932
097,94.71162619293145,33.64415317848638,497,94.71135846513123,33.64632337946622
098,95.80307926313667,32.90753464550837,497,95.80534253494339,32.9088804938132
099,94.47806421906039,32.91651779834957,497,94.48128202974102,32.91787369973579
100,93.77737829744716,33.27584391199738,497,93.77689205871536,33.277601936639705
101,93.77288672102655,33.44203223955949,497,93.77312877369421,33.44397624620777
102,95.06646073015867,33.29381021767977,497,95.06582607842897,33.295588348484905
103,95.12035964720583,32.92550095119076,497,95.12302808628468,32.92686690565839
104,95.9513012850164,32.696430553740285,497,95.95187673325663,32.69754015463215
105,95.01256181311149,32.88058518698479,497,95.01583830320918,32.88190087604541
106,93.61118996988505,33.07821454949108,497,93.6136954870391,33.07975140634256
107,94.68467673440787,33.39711647535351,497,94.6886827675705,33.399010216594775
108,94.47357264263978,33.77440889468371,497,94.47165099019337,33.77222826238258
109,94.40619899633082,33.221944994950206,497,94.40703817642138,33.22364270110412
110,94.11424652899197,33.536355344392035,497,94.11820605446958,33.538404908395044
111,93.94805820142986,33.311776523362155,497,93.95008841188852,33.3135747603301
112,95.53807625432141,32.831177846358216,497,95.54083104511423,32.83243824347112
113,93.77288672102655,33.10516400801467,497,93.77663079110982,33.106731024110346
114,94.90476397901715,33.20847026568841,497,94.90842927745588,33.21015289222022
115,94.11873810541258,33.27584391199738,497,94.12112057968058,33.277601936639705
116,94.87332294407297,32.8491441520406,497,94.8750688698473,32.85042465531631
117,95.51561837221843,32.835669422778814,497,95.51891121304344,32.83693484643242
118,95.57850044210679,32.79524523499343,497,95.58239908152005,32.79646541978072
119,94.21755278666572,33.203978689267814,497,94.22103727021927,33.205656289258926
120,93.75941199176476,33.02431563244391,497,93.7601441245878,33.02579217080697
121,95.26409009266496,32.80422838783463,497,95.26572956521781,32.805458625703324
122,94.14568756393615,33.060248243808694,497,94.14719177826596,33.06176499449736
123,94.59484520599592,33.77440889468371,497,94.59065825347744,33.77222826238258
124,95.2101911756178,33.16355450148244,497,95.21425310162238,33.16518686260723
125,93.66059731051162,33.21745341852961,497,93.66043950398534,33.21914609814282
126,94.48704737190157,33.72500155405714,497,94.48205347297662,33.7227656298083
127,94.4421316076956,33.46449012166248,497,94.44427717963373,33.46645926101426
128,94.58586205315473,33.446523815980086,497,94.58636145191622,33.448472849169065
129,93.63364785198803,33.590254261439206,497,93.63722627219987,33.59236414393063
130,94.49603052474276,32.947958833293754,497,94.49883427468146,32.94934992046488
131,94.67569358156668,32.90304306908777,497,94.67576188761372,32.904383890851896
132,93.79983617955014,33.19050396000602,497,93.80352363260731,33.19216648037503
133,93.59771524062324,33.43304908671829,497,93.6017603582227,33.43498304028517
134,93.80432775597073,33.392624898932915,497,93.80589899679143,33.39451361363348
135,93.98848238921524,33.40160805177411,497,93.98797100320209,33.40350681955608
136,94.13670441109497,33.06473982022929,497,94.13590508480274,33.066261597458656
137,94.03788972984181,33.451015392400684,497,94.0415446350628,33.45296945213037
138,94.58137047673412,32.92999252761136,497,94.58140623687534,32.9313635086197
139,94.80145772134341,33.338725981885744,497,94.80269842338137,33.34055437809789
140,94.53645471252815,33.06923139664989,497,94.53779148795526,33.07075820041996
141,94.54543786536934,33.504914309447855,497,94.54773908122117,33.506928687665955
142,94.90925555543775,32.867110457722994,497,94.91036948494492,32.86841106716151
143,94.437640031275,33.74745943616013,497,94.43651413461978,33.74524864461479
144,94.52747155968696,32.93448410403196,497,94.52727994207052,32.93586011158099
145,95.08442703584106,33.15007977222064,497,95.08682031742997,33.15169705372334
